date,open,high,low,close,volume
2025-01-21,1401.42,1402.42,1385.42,1388.57,16856
2025-01-22,1383.69,1388.37,1358.42,1361.42,28294
2025-01-23,1370.39,1388.42,1358.42,1363.42,27125
2025-01-24,1362.42,1368.21,1350.73,1356.42,31360
2025-01-27,1357.42,1364.39,1347.44,1355.41,29356
2025-02-05,1360.42,1363.42,1322.63,1324.22,40757
2025-02-06,1320.43,1342.41,1320.43,1333.26,27356
2025-02-07,1334.1,1363.1,1323.83,1356.42,37242
2025-02-10,1358.42,1360.42,1347.51,1351.93,20840
2025-02-11,1355.37,1356.38,1336.32,1338.42,23573
2025-02-12,1338.42,1365.42,1337.3,1363.42,25476
2025-02-13,1363.44,1395.67,1354.93,1385.48,43385
2025-02-14,1385.48,1397.42,1378.64,1395.42,27100
2025-02-17,1401.42,1415.4,1387.52,1392.04,32471
2025-02-18,1390.42,1413.41,1382.5,1395.42,27800
2025-02-19,1395.47,1414.86,1385.32,1411.42,32393
2025-02-20,1403.42,1412.39,1393.81,1394.42,23750
2025-02-21,1400.42,1417.15,1393.43,1408.63,36418
2025-02-24,1408.42,1419.94,1394.42,1399.49,34744
2025-02-25,1390.43,1393.81,1372.42,1374.42,28387
2025-02-26,1375.87,1385.38,1365.42,1380.43,26366
2025-02-27,1380.44,1410.32,1374.42,1405.98,49762
2025-02-28,1405.92,1448.8,1402.42,1421.21,56129
2025-03-03,1423.02,1441.41,1401.92,1407.44,31596
2025-03-04,1405.42,1406.42,1385.63,1390.53,25211
2025-03-05,1392.42,1394.42,1380.52,1386.79,24605
2025-03-06,1394.42,1430.62,1392.5,1426.4,42168
2025-03-07,1423.42,1448.78,1423.42,1441.42,37991
2025-03-10,1440.23,1447.3,1426.56,1443.32,31369
2025-03-11,1437.42,1469.1,1432.42,1469.1,39776
2025-03-12,1467.38,1470.1,1446.77,1463.0,29604
2025-03-13,1464.42,1475.92,1451.3,1458.19,25724
2025-03-14,1468.08,1548.43,1461.42,1548.43,92913
2025-03-17,1577.42,1578.41,1547.3,1558.28,54689
2025-03-18,1565.46,1572.42,1542.12,1544.42,31613
2025-03-19,1544.71,1568.42,1543.42,1556.13,27390
2025-03-20,1556.13,1558.02,1515.49,1524.42,36737
2025-03-21,1519.42,1532.62,1489.25,1494.17,33614
2025-03-24,1490.42,1510.08,1482.8,1503.42,25566
2025-03-25,1508.42,1513.22,1487.08,1495.92,17674
2025-03-26,1493.19,1503.0,1491.42,1496.42,14324
2025-03-27,1496.42,1518.67,1493.8,1509.42,17956
2025-03-28,1511.35,1513.42,1496.42,1505.63,16228
2025-03-31,1501.4,1507.38,1480.48,1481.42,21085
2025-04-01,1484.42,1490.31,1472.63,1476.44,18556
2025-04-02,1478.42,1488.22,1465.92,1469.44,21674
2025-04-03,1450.42,1506.42,1449.43,1489.3,35481
2025-04-07,1440.43,1457.27,1382.42,1420.42,101953
2025-04-08,1433.42,1465.42,1415.42,1465.42,73876
2025-04-09,1445.44,1477.22,1440.97,1461.46,55630
2025-04-10,1471.41,1475.42,1448.42,1469.42,38620
2025-04-11,1500.39,1500.39,1465.42,1489.4,32634
2025-04-14,1481.39,1486.42,1471.95,1472.41,21711
2025-04-15,1472.42,1485.42,1465.42,1478.42,21489
2025-04-16,1472.42,1496.42,1457.42,1479.59,31156
2025-04-17,1474.42,1496.92,1470.41,1490.42,23846
2025-04-18,1486.42,1495.42,1476.42,1486.36,20298
2025-04-21,1485.92,1485.92,1471.42,1471.42,18057
2025-04-22,1470.42,1476.72,1463.63,1469.22,18432
2025-04-23,1479.42,1479.64,1465.42,1472.42,18669
2025-04-24,1472.42,1481.1,1469.4,1472.67,14872
2025-04-25,1477.52,1481.62,1470.42,1470.42,14765
2025-04-28,1472.42,1475.42,1467.02,1470.42,14660
2025-04-29,1470.42,1472.96,1452.44,1464.42,18922
2025-04-30,1470.41,1487.08,1466.72,1467.42,25754
2025-05-06,1479.42,1479.42,1464.75,1470.62,18300
2025-05-07,1490.42,1490.42,1470.62,1475.42,27462
2025-05-08,1473.42,1513.2,1470.25,1498.61,33481
2025-05-09,1499.41,1517.87,1495.47,1511.6,23672
2025-05-12,1518.42,1539.35,1517.03,1524.92,24735
2025-05-13,1529.34,1529.34,1505.53,1510.72,21258
