stock_code,report_date,roe,net_profit,gross_margin,debt_ratio,net_margin,operating_cashflow,total_equity
600309.SH,2025-06-30,6.2997,6715298768.96,13.8412,65.8009,7.3875,10528103970.83,108054051883.75
600309.SH,2025-09-30,9.1675,10087767409.99,13.4435,64.5682,6.9944,17021574671.69,116330912265.8
600346.SH,2022-03-31,7.2317,4221888440.06,15.459,73.6312,7.9053,10617752602.79,59619221660.54
600346.SH,2022-06-30,13.8079,8027235232.91,14.0747,74.9574,6.7357,16635362940.92,59076717883.1
600346.SH,2022-09-30,10.6627,6091802337.29,10.1804,76.9058,3.5752,22474043410.86,56991562213.18
600346.SH,2022-12-31,4.2115,2318036950.22,8.207,78.0805,1.0424,25953970783.43,52920389568.5
600346.SH,2023-03-31,1.9106,1017245392.42,9.2613,77.4115,1.8115,11921725448.28,53934090743.44
600346.SH,2023-06-30,5.6036,3049747629.48,11.072,78.0191,2.7862,12138016841.67,56021649857.13
600346.SH,2023-09-30,10.2173,5700654329.75,11.9885,77.5586,3.2921,23956107650.0,58783339517.23
600346.SH,2023-12-31,12.2362,6904463936.78,11.247,76.9767,2.9397,23535790128.97,59998562314.06
600346.SH,2024-03-31,3.5051,2144371454.8,11.158,77.2143,3.6711,7876742069.15,62088838001.69
600346.SH,2024-06-30,6.6836,4026878852.21,11.8549,78.0221,3.5764,12532244582.03,60252002213.9
600346.SH,2024-09-30,8.4149,5113812144.34,10.3596,77.4831,2.8752,20116994838.06,61349623809.45
600346.SH,2024-12-31,11.4166,7053006882.53,9.8572,76.7772,2.9835,22732565255.93,63417562817.24
600346.SH,2025-03-31,3.187,2051510052.51,10.5738,76.5528,3.5962,7745518134.92,65324326106.67
600346.SH,2025-06-30,4.8192,3050933417.47,11.9573,76.8922,2.9352,19477464243.14,63202255041.7
600346.SH,2025-09-30,7.8461,5023137506.51,13.4553,76.4126,3.19,20134497926.84,64646208445.35
600362.SH,2022-03-31,1.9676,1550635588.0,3.0006,53.4559,1.2694,-1942800280.0,88145318062.0
600362.SH,2022-06-30,5.0071,3735100143.0,3.3942,58.0387,1.4633,7339203609.0,77193425960.0
600362.SH,2022-09-30,6.8023,5052352964.0,2.9308,55.8286,1.3723,10596267201.0,77807712850.0
600362.SH,2022-12-31,8.3646,6088834189.0,2.9855,51.025,1.2687,10641320122.0,81950157848.0
600362.SH,2023-03-31,2.3328,1764493004.0,2.5625,54.9919,1.3814,-4004466987.0,85580491055.0
600362.SH,2023-06-30,4.4099,3609470277.0,2.5304,58.6766,1.3492,6464968486.0,88116439334.0
600362.SH,2023-09-30,6.4141,5350888816.0,2.6017,55.5177,1.3392,8228819673.0,89943000809.0
600362.SH,2023-12-31,9.231,6975499443.0,2.6812,54.3573,1.3366,10931174473.0,76748665687.0
600362.SH,2024-03-31,2.4605,1800461049.0,3.2821,58.2192,1.4696,-6068554414.0,81403745082.0
600362.SH,2024-06-30,5.1059,4021949202.0,4.1043,62.8077,1.4879,-4850568102.0,84187877030.0
600362.SH,2024-09-30,6.9554,5454633970.0,3.6369,57.6874,1.3907,415932993.0,85857921133.0
600362.SH,2024-12-31,9.5788,7423561010.0,3.5406,54.5368,1.4251,2507849798.0,87802056818.0
600362.SH,2025-03-31,2.4723,2031039702.0,4.3996,57.5934,1.8198,558146592.0,89960250232.0
600362.SH,2025-06-30,5.2911,4417391454.0,3.9244,63.7242,1.7191,2871405799.0,89912417061.0
600362.SH,2025-09-30,7.547,6480848089.0,3.5764,60.8803,1.6364,6287997514.0,92127798253.0
600372.SH,2022-03-31,1.7722,207955021.76,27.7751,53.9406,8.8647,-1178634543.99,11899713482.83
600372.SH,2022-06-30,4.5517,1121461790.69,28.8438,54.5104,8.2422,-3100777360.02,12042249859.88
600372.SH,2022-09-30,6.0115,1650524876.33,29.751,55.2571,8.1977,-4774173762.64,12322025518.5
600372.SH,2022-12-31,8.0779,1789739491.08,28.7792,53.6449,6.4559,-929976848.11,30002702085.79
600372.SH,2023-03-31,1.7136,473816965.71,30.649,54.9403,7.5545,-2109263389.76,12865330910.16
600372.SH,2023-06-30,3.5643,1226003780.01,26.736,47.8428,8.7692,-2382696331.55,36817015198.63
600372.SH,2023-09-30,5.7339,1883311926.05,27.7174,49.5866,9.0847,-3645173315.73,36868532913.39
600372.SH,2023-12-31,6.4716,2149089471.48,29.4872,48.7307,7.4089,-1017258018.41,37694957702.3
600372.SH,2024-03-31,1.252,492790076.04,25.1236,48.5234,8.7333,-1270058948.31,38110311811.63
600372.SH,2024-06-30,2.4913,985229241.97,25.5147,48.3143,8.5839,-1161050245.6,38074252478.26
600372.SH,2024-09-30,3.29,1321249907.94,26.1925,47.9898,7.9754,-3651243847.49,38797749808.19
600372.SH,2024-12-31,2.8304,1193586445.0,28.1779,49.8049,4.9983,-1988714086.57,39212628003.02
600372.SH,2025-03-31,0.2695,138401430.29,24.5363,49.6315,2.9291,367208899.15,39205496577.28
600372.SH,2025-06-30,1.7021,732006683.9,26.3701,49.8622,6.5473,-60332588.1,39707624721.34
600372.SH,2025-09-30,2.612,1161809341.8,27.9411,50.6278,6.9263,-1376950060.23,40139581071.03
600377.SH,2022-03-31,2.5696,839171688.63,47.8415,46.403,30.7387,1156311870.41,36783184358.79
600377.SH,2022-06-30,5.767,1820186140.63,42.1099,49.3291,37.3341,2323712815.35,35503758547.01
600377.SH,2022-09-30,9.8097,3115617617.12,39.4112,51.4351,32.8485,4016242502.77,37238056792.7
600377.SH,2022-12-31,11.6409,3747988868.39,33.3003,51.63,28.2748,5527921046.44,37950331897.95
600377.SH,2023-03-31,3.7732,1272611547.45,46.2404,50.8258,35.063,1623269207.65,39367249942.55
600377.SH,2023-06-30,7.7377,2587623959.36,44.974,51.7166,36.2615,3630954437.28,38524177621.11
600377.SH,2023-09-30,12.277,4216633772.36,42.7692,49.1653,36.3218,5555380675.07,40398476445.71
600377.SH,2023-12-31,13.3881,4609625167.8,36.936,48.0196,30.3424,7392424081.75,40888507875.68
600377.SH,2024-03-31,3.5676,1314772871.05,47.2498,47.3494,37.8527,1639672583.68,42877021438.41
600377.SH,2024-06-30,7.9845,2879848459.33,30.0254,47.2027,28.9143,3078071689.81,44627996156.86
600377.SH,2024-09-30,11.6391,4338870734.27,34.9919,44.0403,30.8631,5418831429.21,47006715968.42
600377.SH,2024-12-31,13.6302,5170407061.54,26.2831,44.67,22.288,6316202433.54,49733988120.37
600377.SH,2025-03-31,3.0957,1256153515.02,34.6718,44.2904,26.271,1713194681.5,50965789581.95
600377.SH,2025-06-30,6.1566,2535861452.56,33.1655,45.7887,26.9608,3277309995.91,52115516295.66
