stock_code,stock_name,industry,end_date,roe,netprofit_yoy,grossprofit_margin,debt_to_assets,current_ratio,operating_cashflow,ocf_to_revenue,ocf_to_profit,net_profit,revenue,eps,bps,roa,netprofit_margin,quick_ratio,assets_turn,total_assets,total_equity,roe_industry_pct,netprofit_yoy_industry_pct,grossprofit_margin_industry_pct,ocf_to_revenue_industry_pct,debt_to_assets_industry_pct,roe_industry_score,netprofit_yoy_industry_score,grossprofit_margin_industry_score,debt_to_assets_industry_score,ocf_to_revenue_industry_score,industry_score
000554.SZ,泰山石油,SW1石油石化,20260331,5.8357,55.16,22.252,27.282,2.2432,70535403.8,9.6616,1.0438,67578645.58,730059711.18,0.1399,2.4758,4.1096,9.2566,1.2929,0.444,1644415260.85,1195785625.35,0.9148936170212766,0.8260869565217391,0.7659574468085106,0.6808510638297872,0.8085106382978724,5.0,5.0,4.0,5.0,4.0,23.0
002222.SZ,福晶科技,SW1电子,20260331,3.6338,39.48,44.9295,26.6596,5.7246,69684485.55,21.4793,0.9226,75534405.96,324426753.06,0.1387,3.8876,2.7713,23.2824,4.314,0.119,2725594477.92,1998963162.91,0.8870292887029289,0.7707317073170732,0.8807531380753139,0.8493723849372385,0.6464435146443515,5.0,4.0,5.0,4.0,5.0,23.0
002709.SZ,天赐材料,SW1电力设备,20260331,8.9589,180.95,38.6535,35.5639,1.7499,-21392769.97,-0.3206,-0.013,1647319537.14,6673476673.92,0.82,9.3603,5.513,24.6846,1.5044,0.2233,29880646770.13,19253924205.73,0.9917127071823204,0.9485714285714286,0.9260273972602739,0.6356164383561644,0.736986301369863,5.0,5.0,5.0,4.0,4.0,23.0
300768.SZ,迪普科技,SW1计算机,20260331,1.3085,12.46,62.2348,12.8541,7.3872,-42615612.1,-16.372,-0.9264,46002779.56,260296047.61,0.07,5.4998,1.1322,17.6733,6.611,0.0641,4063187247.47,3540901745.11,0.8206686930091185,0.6614583333333334,0.874251497005988,0.6437125748502994,0.8502994011976048,5.0,4.0,5.0,5.0,4.0,23.0
300867.SZ,圣元环保,SW1环保,20260331,2.8305,36.14,51.6444,54.932,1.3878,141014427.33,35.2873,1.2482,112972932.08,399617998.52,0.4134,14.817,1.263,28.2702,1.3485,0.0447,8945094935.78,4031375671.06,0.8473282442748091,0.8059701492537313,0.9548872180451128,0.9398496240601504,0.40601503759398494,5.0,5.0,5.0,3.0,5.0,23.0
000568.SZ,泸州老窖,SW1食品饮料,20260331,7.316,-19.54,85.8178,21.8137,3.8225,4543022746.04,56.6096,1.2179,3730064544.55,8025174114.21,2.52,35.0548,5.6374,46.4795,2.6164,0.1213,66166682911.76,51733278718.19,0.9024390243902439,0.5957446808510638,0.991869918699187,0.991869918699187,0.6747967479674797,5.0,3.0,5.0,4.0,5.0,22.0
300995.SZ,奇德新材,SW1基础化工,20260331,1.0798,122.63,29.5137,29.0279,2.4298,24991334.02,27.2354,3.6392,6867353.88,91760558.27,0.0816,7.5843,0.7625,7.484,1.9143,0.1019,900660687.6,639217612.91,0.4950980392156863,0.898989898989899,0.8137254901960784,0.9338235294117647,0.6544117647058824,3.0,5.0,5.0,4.0,5.0,22.0
002871.SZ,伟隆股份,SW1机械设备,20260331,1.9453,2.18,39.6693,18.9771,3.5048,29880768.14,20.8986,1.3253,22547194.75,142979570.36,0.09,4.6517,1.5593,15.7695,3.0856,0.0989,1445936426.17,1171540183.12,0.7320754716981132,0.5369649805447471,0.8270676691729323,0.8909774436090225,0.825187969924812,4.0,3.0,5.0,5.0,5.0,22.0
300450.SZ,先导智能,SW1电力设备,20260331,2.6147,481.96,33.6121,61.6355,1.5409,1247581972.19,33.8038,3.2046,389309048.74,3690650989.26,0.26,10.6733,0.8374,10.5485,0.934,0.0794,46487874256.6,17834850532.11,0.8314917127071824,0.9942857142857143,0.873972602739726,0.9726027397260274,0.3123287671232877,5.0,5.0,5.0,2.0,5.0,22.0
002595.SZ,豪迈科技,SW1机械设备,20260331,4.1963,18.93,34.0528,18.4067,4.3007,116616098.57,4.3715,0.2264,515140559.8,2667648656.65,0.646,15.667,3.3511,19.3107,3.0353,0.1735,15372262940.83,12542736249.59,0.9490566037735849,0.6848249027237354,0.7180451127819549,0.6804511278195489,0.8383458646616542,5.0,4.0,4.0,5.0,4.0,22.0
